Job_Title,Company_name,Job_location,Company_Experience,Job_skills
IoT Architect,Coders Brain Pvt Ltd,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",6-14 Yrs,"['home automation', 'Communication protocols', 'Power management', 'Cloud Services', 'Programming', 'UART', 'Architecting', 'Sensors']"
Iot Developer,Happiest Minds Technologies,"Bhubaneswar, Odisha, Pune, Maharashtra, Bengaluru, Karnataka",4-9 Yrs,"['Iot Hub', 'Iot Edge', 'Asp.Net Core', 'Azure Iot', 'IOT', 'Hub', 'Edge', 'Development']"
IoT Engineer,Zazz,Hyderabad/Secunderabad,4-5 Yrs,"['C++', 'Data analysis', 'Communication protocols', 'Backend', 'Data management', 'Javascript', 'Sensors', 'Python']"
IoT Developer,Petrus Technologies,"Chennai, Coimbatore, Bangalore/Bengaluru",5-10 Yrs,"['Data analysis', 'Networking', 'Coding', 'Analytical', 'Social media', 'Consulting', 'Troubleshooting', 'Software services']"
IOT engineer,Onivart Design Studio,Hyderabad/Secunderabad,1-3 Yrs,"['C++', 'GCP', 'SOC', 'SMS', 'Sensors', 'PCB designing', 'Testing', 'Embedded software']"
IoT Engineer,AppIncubator,Hyderabad/Secunderabad,4-5 Yrs,"['IT services', 'SAN', 'C++', 'Data analysis', 'Data management', 'Javascript', 'SMS', 'HTTP']"
IoT (Internet of Things) Engineer,Fardha Home Care,Hyderabad/Secunderabad,2-5 Yrs,"['Communication protocols', 'Usage', 'Cloud', 'Hardware', 'Management', 'Troubleshooting', 'Testing', 'Protocols']"
IOT Embadded Engineer,Aark Automation,Hyderabad/Secunderabad,1-5 Yrs,"['EMI', 'RTC', 'Embedded C', 'Analog', 'EMC', 'Electronic circuit design', 'Sensors', 'Product testing']"
IoT Engineer,Squalas,Noida,,
IoT Engineer,Shunya Ekai Technologies,Gurgaon/Gurugram,0-3 Yrs,"['GSM', 'Telecom', 'C++', 'RF', 'Instrumentation', 'Telecommunication', 'Sensors', 'Advertising']"
Iot Engineer,Periurja Energy,Mumbai,0-3 Yrs,"['Estimator', 'HR', 'hrsd', 'estimation', 'iot']"
IOT Architect,Skillety,Hyderabad/Secunderabad,8-13 Yrs,"['Cloud computing', 'Networking protocols', 'Web services', 'Staffing', 'big data analytics', 'Time management', 'Network infrastructure', 'Project management']"
Embedded and IoT Developer,Indev Consultancy,New Delhi,,
Embedded IoT Developer,D Cube Technologies,Mohali,2-7 Yrs,"['C++', 'Networking protocols', 'Assembly language', 'Architecture', 'USB', 'Embedded Linux', 'TCP/IP', 'Firmware']"
IoT / EMBEDDED DEVELOPER,Nesh Technologies,Chennai,2-5 Yrs,"['RTOS', 'Computer science', 'Telecom', 'UDS', 'System integration', 'Debugging', 'Telematics', 'Firmware']"
Embedded & IOT Developer,Robotronix Engineering Tech,Indore,3-5 Yrs,"['RTOS', 'Embedded C', 'Computer vision', 'C++', 'Simulation', 'Coding', 'Simulink', 'Sensors']"
IOT Nodejs Python Microservices Developer,Superior Electric Machines,Noida,3-6 Yrs,"['Python', 'Java', 'ReactJS', 'JavaScript', 'Objective C', 'nodeJs', 'Python Microservices', 'C']"
IoT Developer,Verbat Technologies,Trivandrum,5-10 Yrs,"['PDF', 'PHP', 'Mentor', 'Microsoft technologies', 'Python', 'Recruitment', 'iot', 'mentoring']"
C Developer / IOT Developer,Energasia,New Delhi,4-9 Yrs,"['RTOS', 'GSM', 'Embedded C', 'Debugging', 'Agile', 'HTTP', 'Firmware', 'GPRS']"
IOT DEVELOPER,Blocklogy Edutech,Mumbai,1-3 Yrs,"['Computer science', 'E-learning', 'devops', 'Web development', 'Cloud', 'Programming', 'Data analytics', 'Information technology']"
IOT Developer,MNJ Software,Remote,4-6 Yrs,"['RTOS', 'C', 'Linux', 'USB', 'MySQL', 'Ethernet', 'Debugging', 'HTTP']"
IOT Developer,Botberry Solutions,Chennai,2-4 Yrs,"['C++', 'Linux', 'Networking', 'Debugging', 'Hardware design', 'embedded software development', 'Troubleshooting', 'PCB designing']"
IoT Developer,Scientech Technologies,Indore,3-7 Yrs,"['GSM', 'Wireless', 'Embedded C', 'C++', 'MySQL', 'Ethernet', 'HTTP', 'GPRS']"
IoT Backend Developer,Zuru Tech India,Ahmedabad,7-12 Yrs,"['Fabrication', 'C++', 'Linux', 'Coding', 'Bim', 'Perl', 'Medical insurance', 'Troubleshooting']"
IoT Backend Developer,Zuru,Ahmedabad,2-5 Yrs,"['Fabrication', 'C++', 'Linux', 'Bim', 'Perl', 'Medical insurance', 'Troubleshooting', 'Civil engineering']"
Engineer - IOT,Propel Industries,"Coimbatore, Tamil Nadu",2-5 Yrs,"['Industrial Engineering', 'Process Automation', 'Production Engineering', 'Manufacturing Engineering', 'IOT', 'Industrial Automation', 'internet of things', 'Automation Project Engineering']"
Iot Engineer,Bharat Forge,"Pune, Maharashtra",3-6 Yrs,"['Thingworx', 'Kepware', 'IOT', 'PLC', 'SCADA']"
IOT Edge Engineer,Skillety,Bangalore/Bengaluru,8-10 Yrs,"['Cloud computing', 'Linux', 'Staffing', 'Shell scripting', 'Windows', 'Firmware', 'Sensors', 'Monitoring']"
IOT Embedded Engineer,Detailing Devils,"Noida, Uttar Pradesh",2-5 Yrs,"['Real-time Operating Systems RTOS', 'Embedded Systems', 'Low-Power Design', 'Firmware Development', 'IoT Protocols MQTT CoAP', 'Sensor Integration', 'Wireless Communication Bluetooth WiFi Zigbee', 'Microcontrollers Arduino Raspberry Pi STM32']"
IoT Embedded Engineer,Stackfusion,Pune,2-6 Yrs,"['RTC', 'Communication protocols', 'Networking protocols', 'Operating systems', 'PLC', 'UART', 'HTTP', 'PCB designing']"
Senior Embedded Engineer (IoT Domain),Tvilight,Ahmedabad,6-8 Yrs,"['RTOS', 'Wireless', 'System architecture', 'Embedded C', 'UML', 'Coding', 'Debugging', 'Firmware']"
Iot Engineer,PVR Controls,"Navi Mumbai, Maharashtra",2-5 Yrs,"['MQTT', 'HTTP protocol', 'MODBUS RTU', 'Ethernet protocol', 'Modbus', 'Protocols', 'Ethernet', 'IOT']"
IoT Engineer - Release Management,Pentair,Noida,3-6 Yrs,"['Change management', 'Publishing', 'Windows', 'Troubleshooting', 'MS Office', 'Release management', 'Monitoring', 'Android']"
IoT Engineer,Skillsda,Nagercoil,2-5 Yrs,"['IoT Engineer', 'engineer', 'IOT', 'Engineering']"
IoT Engineer,Rapidbrains,Remote,4-8 Yrs,"['Patch management', 'Network configuration', 'Network infrastructure', 'Deployment', 'Patching', 'Networking', 'Management', 'Configuration']"
IoT Engineer,Work Permit Visas,"London, Manchester",3-5 Yrs,"['cloud platforms', 'software testing', 'JavaScript', 'product security', 'data protection', 'algorithm development', 'user interface design', 'Swift']"
IOT Engineer,InfoBridge Solutions,Pune,2-7 Yrs,"['RTOS', 'Wireless', 'C++', 'Linux', 'RF design', 'System programming', 'Firmware', 'WiFi']"
IoT Engineer,CONTUS TECH,Chennai,4-9 Yrs,"['Cloud computing', 'Medical devices', 'GIT', 'SOA', 'Development Manager', 'Software configuration management', 'Data collection', 'HTTP']"
IoT Engineer,keleno.com,Kochi,1-5 Yrs,"['RTOS', 'C++', 'development', 'software', 'prototyping', 'Debugging', 'Troubleshooting', 'Embedded software']"
Internet of Things (IoT) Engineer,Ziplr,Bhubaneshwar,2-7 Yrs,"['Telecom', 'Basic', 'server', 'Linux', 'Architecture', 'Healthcare', 'Management', 'Advertising']"
Embedded IOT Engineer,Coders Brain Pvt Ltd,Mumbai,3-15 Yrs,"['TCP', 'RTOS', 'Embedded C', 'SOC', 'Embedded Linux', 'HTTP', 'JSON', 'Firmware']"
Embedded IOT Engineer:,Coders Brain Pvt Ltd,Mumbai,3-15 Yrs,"['TCP', 'RTOS', 'Embedded C', 'SOC', 'Embedded Linux', 'HTTP', 'JSON', 'Firmware']"
IOT Embedded Engineer,Primohunt Corporate,Pune,3-8 Yrs,"['home automation', 'Embedded C', 'USB', 'Ethernet', 'Embedded Linux', 'Data structures', 'RS232', 'RS485']"
IoT Architect,Singularityaix,"Pune, Ahmedabad, United States (USA)",8-13 Yrs,"['Architect', 'IOT', 'Architecture']"
iOT Architect,Diverse Lynx,Chennai,9-10 Yrs,"['jQuery', 'NoSQL', 'Architecture', 'Coding', 'data security', 'cassandra', 'MongoDB', 'application architecture']"
Associate IoT Engineer,Client Of Sampoorna,Pune,1-2 Yrs,"['PLC', 'IoT', 'SCADA']"
Specialist Industrial IoT IT,Concord Talent Hunt,Pune,5-10 Yrs,"['Computer science', 'Administration', 'Application support', 'Operating systems', 'AutoCAD', 'Database management', 'Technical design', 'Instrumentation']"
Business Transformation Consultant: IoT & PLM,IBM,Bangalore/Bengaluru,3-7 Yrs,"['PLM', 'CATIA', 'CAD', 'Agile', 'Solid works', 'Business transformation', 'Transformation', 'IOT']"
Business Transformation Consultant: IoT & PLM,IBM,Bangalore/Bengaluru,3-7 Yrs,"['Business transformation', 'plm', 'impact analysis', 'cad', 'smarteam', 'catia', 'design thinking', 'Transformation']"
Business Transformation Consultant: IoT & PLM,IBM,Bangalore/Bengaluru,7-10 Yrs,"['CATIA', 'Java', 'C++', 'C', 'XML', 'TCL scripting', 'PLM application', 'SQL']"
Business Transformation Consultant: IoT & PLM,IBM,Bangalore/Bengaluru,7-11 Yrs,"['data migration', 'IoT', 'PLM', 'Business Transformation', 'Java', 'C++', 'Debugging', 'Troubleshooting']"
Business Transformation Consultant: IoT & PLM,IBM,Bangalore/Bengaluru,5-10 Yrs,"['PLM', 'CATIA', 'CAD', 'Agile', 'Solid works', 'Business transformation', 'PLM consultant', 'Solid']"
Solution Architect - IoT Engineering,Siemens,Bangalore/Bengaluru,0-12 Yrs,"['PLM', 'Automation', 'RTU', 'Communication protocols', 'Switchgear', 'Consulting', 'Network security', 'Sensors']"
Business Transformation Consultant: IoT & PLM,IBM,Bangalore/Bengaluru,5-9 Yrs,"['PLM', 'CATIA', 'CAD', 'Agile', 'Solid works', '3D', 'Business transformation', 'Solidworks CAD']"
Business Transformation Consultant: IoT & PLM,IBM,Bangalore/Bengaluru,7-11 Yrs,"['C++', 'Troubleshooting', 'SQL', 'XML', 'Javascript', 'CATIA', 'Java', 'Debugging']"
Sr Lead Engineer- IOT testing,"Qualcomm Technologies, Inc",Hyderabad/Secunderabad,3-8 Yrs,"['Computer science', 'Automation', 'C++', 'Staffing', 'Debugging', 'Web development', 'Test cases', 'Test engineering']"
CD - Cybersecurity - IOT Security - Associate 2,PwC Service Delivery Center,"Hyderabad/Secunderabad, Bangalore/Bengaluru",5-8 Yrs,"['Leadership development', 'Machine learning', 'Process quality', 'Risk management', 'microsoft', 'Vulnerability assessment', 'SCADA', 'Python']"
Iot Consultant,ZMSL,"Hyderabad, Bangalore Rural, Karnataka, Chennai, Tamil Nadu",12-17 Yrs,"['AR', 'Azure Cloud Platform', 'Debugging', 'Javascript', 'Ptc Thingworx', 'Mqtt', 'Iot Application Development', 'sensor integration']"
Lead- Capturing & Customer Success Manager For IoT Applications,Siemens,Chennai,0-3 Yrs,"['Data analysis', 'Project management', 'Relationship building', 'Social media', 'Consulting', 'Video conferencing', 'Monitoring', 'Salesforce']"
"Program Manager, Senior- IOT Cloud","Qualcomm Technologies, Inc",Hyderabad/Secunderabad,12-15 Yrs,"['Engineering services', 'Computer science', 'Electrical engineering', 'Wireless', 'Staffing', 'Manager Program Management', 'Manager Technology', 'Software product development']"
Staff Product Manager - IOT,"Qualcomm Technologies, Inc",Hyderabad/Secunderabad,10-12 Yrs,"['RTOS', 'Computer science', 'group product management', 'Linux', 'Operating systems', 'Staffing', 'Strategic planning', 'Windows']"
"Engineer, Senior - Camera IOT Software","Qualcomm Technologies, Inc",Hyderabad/Secunderabad,4-6 Yrs,"['Computer science', 'C++', 'Linux', 'Debugging', 'Silicon', 'Sensors', 'Robotics', 'Embedded software']"
Senior IOT Developer - AWS platform,Siemens,Bangalore/Bengaluru,4-8 Yrs,"['Cloud computing', 'Coding', 'Postgresql', 'Consulting', 'Architectural design', 'Cloud', 'Siemens', 'Data processing']"
Technical Expert - IoT and Edge Systems,Siemens,Bangalore/Bengaluru,5-7 Yrs,"['Cloud computing', 'C++', 'Bluetooth', 'Eclipse', 'Javascript', 'Data structures', 'Virtualization', 'Distribution system']"
Senior Frontend Developer - Cloud & IoT,Siemens,Bangalore/Bengaluru,5-10 Yrs,"['Backend', 'GIT', 'Testing tools', 'Web testing', 'Postgresql', 'Analytical', 'Consulting', 'Siemens']"
Senior Software Developer - IoT & Cloud,Siemens,Bangalore/Bengaluru,5-8 Yrs,"['Computer science', 'Data management', 'Postgresql', 'Analytical', 'Web development', 'Consulting', 'Agile', 'SDK']"
Software Developer - IoT & Cloud,Siemens,Bangalore/Bengaluru,3-6 Yrs,"['Computer science', 'Data management', 'Postgresql', 'Analytical', 'Web development', 'Consulting', 'Agile', 'SDK']"
Embedded Software Engineer ( IOT Applications and Analytics ),Episteme Soft,Bengaluru,0-2 Yrs,"['Wireless', 'software', 'GPRS', 'VLAN', 'tools', 'cloud', 'coding', '4G']"
Azure IoT,Han Digital Solution (P),"Hyderabad/Secunderabad, New Delhi, Pune, Bangalore/Bengaluru",3-8 Yrs,"['Networking', 'Scalability', 'Architecture', 'Social media', 'Cloud', 'Architecting', 'MVS', 'Data warehousing']"
IOT technical Consultants/ Architects,Qlasraft Technologies,Bengaluru,2-7 Yrs,"['Architect', 'technical', 'IOT technical Consultant', 'consulting', 'iot', 'architecture']"
IoT Tech Lead (Azure),Creative Synergies,Bangalore/Bengaluru,6-10 Yrs,"['Architecture', 'Compliance', 'Coding', 'Cloud', 'Technical Lead', 'data privacy', 'Continuous improvement', 'Troubleshooting']"
Technical Architect - Java ( IoT ),Ibasis,"Hyderabad, Telangana",10-20 Yrs,"['Angularjs', 'Kafka', 'Java Technologies', 'React.Js', 'AWS', 'Hibernate', 'Spring', 'Devops']"
Azure Data Engineer - IoT,CARBYNETECH,Hyderabad/Secunderabad,4-9 Yrs,"['Azure', 'DataLake', 'Data Ingestion', 'Azure Databricks', 'Data Analytics', 'IoT', 'Data Lake', 'Azure Data Factory']"
Technical Architect / Developer (IOT Domain),Vishanz Business Services,Bengaluru,6-11 Yrs,"['Technical', 'Architect', 'Integration', 'Delivery', 'Architecture', 'Technical architecture', 'IOT', 'DNS']"
Azure IOT Architect- Bangalore or Chennai-Permanent role,Virtusa,"Hybrid - Chennai, Tamil Nadu, Bengaluru",10-15 Yrs,"['Azure IOT', 'Azure IOT Architect', 'IOT', 'Microsoft Azure', 'Architecture']"
Technical Support Engineer - ioT / AI / ML,Microsoft,Bangalore/Bengaluru,5-10 Yrs,"['DTP', 'C++', 'Coding', 'Process improvement', 'Consulting', 'Customer service', 'microsoft', 'Business intelligence']"
Technical Support Engineer - AI / ML / IoT,Microsoft,Bangalore/Bengaluru,3-8 Yrs,"['DTP', 'C++', 'Coding', 'Process improvement', 'Consulting', 'Customer service', 'microsoft', 'Business intelligence']"
Technical Solution Architect - IoT & Cyber Security,Siemens,Thane,5-11 Yrs,"['Service management', 'Solution architecture', 'Architecture', 'cyber security', 'data security', 'Presales', 'Instrumentation', 'Sensors']"
Technical Support Engineer - Data/ AI-ML / IoT,Microsoft,Bangalore/Bengaluru,5-6 Yrs,"['C++', 'Automation', 'Coding', 'Debugging', 'Consulting', 'Business intelligence', 'microsoft', 'Technical support']"
Full Stack Senior Software Developer: R&D - IoT & Cloud,Siemens,Panaji/Panjim,4-8 Yrs,"['Computer science', 'Software design', 'Front end', 'Coding', 'Postgresql', 'HTML', 'Scrum', 'Unit testing']"
Iot Application Developer,Jbmatrix Technology,"Kolkata, West Bengal",1-2 Yrs,"['Embedded Systems', 'Arduino', 'Networking Protocols', 'PCB Designing', 'Pic Controller', 'Sensors', 'Firmware Development', 'Robotics']"
Azure IOT Archirect,Coders Brain Pvt Ltd,Hyderabad/Secunderabad,5-7 Yrs,"['Enterprise applications', 'Postgresql', 'MySQL', 'HTTP', 'GPRS', 'SDK', 'Business intelligence', 'Business solutions']"
Technical Lead - IoT & Cloud For Industrial Automation Company,Perfect People Search,"Pune, Maharashtra",6-11 Yrs,"['python', 'Aws Cloud', 'Gcp Cloud', 'IOT', 'Linux', 'Mqtt', 'Cloud Security', 'windows']"
Sr. Solution Developer (AWS IOT Core),Tata Technologies,Pune,4-7 Yrs,"['RCA', 'SDK', 'AWS', 'Solution development', 'AWS IOT Core', 'IOT', 'AWS IOT', 'Development']"
"Lead Research Engineer (IoT, Edge and Cloud Systems)",Siemens,Bangalore/Bengaluru,3-8 Yrs,"['Cloud computing', 'C++', 'Bluetooth', 'Eclipse', 'Javascript', 'Data structures', 'Research', 'Virtualization']"
IoT Application Operation Technical Specialist,Staffice Global,Bangalore/Bengaluru,8-10 Yrs,"['Service management', 'Automation', 'Linux', 'MySQL', 'Perl', 'Load balancing', 'Firewall', 'SQL']"
AWS IoT,Han Digital Solution (P),"Hyderabad, Delhi, Pune, Bengaluru",3-8 Yrs,"['Hibernate', 'NoSQL', 'Networking', 'Data modeling', 'cassandra', 'Social media', 'MySQL', 'J2Ee']"
Architect - IoT Solutions,Pepsi Foods,Hyderabad/Secunderabad,3-9 Yrs,"['Cloud computing', 'Data analysis', 'Linux', 'Consulting', 'Disaster recovery', 'microsoft', 'Analytics', 'Monitoring']"
Embedded & IoT Trainer,Vimerse Infotech,Bangalore/Bengaluru,8-12 Yrs,"['Technical training', 'Training', 'Embedded systems', 'IOT', 'Technical']"
Senior Flutter Developer with IOT Experience,Suyati Technologies,"Kochi, Kerala, Bangalore Rural, Karnataka",5-10 Yrs,"['Flutter', 'Dart', 'IOS', 'Android', 'IOT', 'Senior', 'Development', 'Io']"
IoT Hub Wireless development Engineer,Samsung India,Bangalore/Bengaluru,4-8 Yrs,"['Wireless', 'Telecom', 'C++', 'Bluetooth', 'Data analysis', 'Communication protocols', 'System engineering', 'Programming']"
Azure IoT Architect,People Decode Solutions,Bangalore/Bengaluru,12-20 Yrs,"['XML', 'Architectural design', 'Entity framework', 'microsoft azure', 'ASP.Net', 'MVC', 'Cosmos', 'Analytics']"
Associate UI Architect - ioT & Cloud,Siemens,Bangalore/Bengaluru,8-12 Yrs,"['User interface designing', 'Analytical', 'Consulting', 'Javascript', 'Agile', 'Siemens', 'HTML', 'Adobe']"
IOT Product Security Expert,Einfochips,"Pune, Maharashtra, Ahmedabad, Gujarat, Bengaluru",5-10 Yrs,"['IOT Product Security', 'Cyber Security', 'Security', 'Cyber', 'IOT', 'Product Security']"
Project Lead/ Project Manager- IOT Cloud,Creative Synergies,Bangalore/Bengaluru,8-10 Yrs,"['Interpersonal skills', 'Architecture', 'Coding', 'Project management', 'Cloud', 'Technical leadership', 'Management', 'Project']"
IoT Expert,DTC Infotech,Bangalore/Bengaluru,2-6 Yrs,"['RTOS', 'Embedded C', 'Linux', 'USB', 'Analog', 'Hardware design', 'Sensors', 'SPI']"
Scrum Master - IoT & Cloud,Siemens,Bangalore/Bengaluru,4-9 Yrs,"['Team management', 'Managed services', 'Consulting', 'Agile', 'Risk management', 'Continuous improvement', 'Customer engagement', 'Stakeholder management']"
Associate Architect - IoT & Cloud,Siemens,Bangalore/Bengaluru,8-12 Yrs,"['Computer science', 'Data management', 'Postgresql', 'Analytical', 'Consulting', 'Agile', 'Application development', 'application monitoring']"
Software Architect - IoT & Cloud,Siemens,Bangalore/Bengaluru,10-16 Yrs,"['Computer science', 'software architecture', 'Managed services', 'Architecture', 'Consulting', 'Cloud', 'Agile', 'Siemens']"
Full Stack Developer ( IoT ),Legalwings24.com,Bangalore/Bengaluru,2-7 Yrs,"['software development', 'Azure', 'cloud integration', 'internet protocols', 'Alexa', 'API development', 'Cosmos', 'Google Home']"
Microsoft Dynamics 365 ERP Technical-Application Developer,Accenture,Hyderabad/Secunderabad,5-10 Yrs,"['ERP', 'Microsoft Dynamics', 'educational qualification', 'application development', 'Development', 'Application', 'Dynamics', 'Microsoft']"
Microsoft Dynamics AX Technical-Application Developer,Accenture,Hyderabad/Secunderabad,2-5 Yrs,"['Quality systems', 'Agile methodology', 'Microsoft Dynamics AX', 'SCM', 'Troubleshooting', 'educational qualification', 'problem solving', 'application development']"
Microsoft Dynamics AX Technical-Application Developer,Accenture,Hyderabad/Secunderabad,5-10 Yrs,"['Quality systems', 'Agile methodology', 'Microsoft Dynamics AX', 'SCM', 'Troubleshooting', 'Architecture', 'Dynamic', 'Agile']"
Microsoft Dynamics 365 ERP Technical-Application Developer,Accenture,Hyderabad/Secunderabad,6-8 Yrs,"['Project development', 'ERP', 'Project management', 'Microsoft Dynamics', 'c', 'functional design', 'application development', 'Application']"
Hardware/Firmware Design Engineer - Embedded & IoT Systems,Morphedo Technologies,Noida(Sector-63 Noida),0-5 Yrs,"['PCB Designing', 'Circuit Designing', 'IOT', 'Hardware Design', 'Firmware Development', 'Embedded C++', 'Embedded C', 'Microcontroller']"
Hiring Freshers on Cloud Computing Engineer (aws and azure),Aficionado Technologies,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",0-0 Yrs,"['Cloud Computing', 'Azure Iot', 'AWS', 'Devops', 'Azure Data Factory', 'Azure Active Directory', 'Cloud Services', 'Active directory']"
IoT Platform Software Engineer / developer,Akkodis,Bangalore/Bengaluru,3-5 Yrs,"['QA', 'continuous integration', 'Automation testing', 'Monitoring tools', 'Coding', 'Agile development', 'Production engineering', 'Mentor']"
Senior Consultant - IoT Security or Cloud Security,Aujas Networks Pvt Ltd,"Mumbai, Bengaluru",4-7 Yrs,"['Risk advisory', 'cloud security', 'Web technologies', 'Manual', 'Application security', 'AWS', 'Penetration testing', 'iot security']"
Opportunity with  IOT Tester professionals.,Atos Syntel,"Bangalore/ Bengaluru, Karnataka",6-11 Yrs,"['Iot Testing', 'Connected Cars', 'OTA', 'IOT', 'Software testing']"
Packet Core | Core Network (5G & IOT) - Middle East,Protiviti India,"Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)",5-10 Yrs,"['Network Design', '5G', '4G', 'Core Network', 'Packet Core', 'Network Planning', 'Network Rollout', 'Telecommunication']"
Development Manager - Java Full Stack (IoT),Ibasis,"Hyderabad, Telangana",10-16 Yrs,"['Java', 'Angular', 'React.Js', 'Kafka', 'Spring Boot', 'Html5B', 'Perl', 'Node.Js']"
